Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,category
"Chick-fil-A Diet Lemonade, Medium",60,0.0,0.0,0.0,0,10,16,0,12,0,Chick-fil-A,Other
"Chick-fil-A Diet Lemonade, Small",45,0.0,0.0,0.0,0,10,12,0,8,0,Chick-fil-A,Other
"Chick-fil-A Iced Tea (1/2 Sweet Tea, 1/2 Unsweet Tea), Gallon",790,0.0,0.0,0.0,0,0,205,0,205,0,Chick-fil-A,Other
"Chick-fil-A Lemonade (1/2 Lemonade, 1/2 Diet Lemonade), Gallon","1,390",0.5,0.0,0.0,0,40,389,1,350,1,Chick-fil-A,Other
"Chick-fil-A Lemonade, Gallon","2,090",1.5,0.0,0.0,0,95,549,2,517,2,Chick-fil-A,Other
"Chick-fil-A Lemonade, Large",370,0.0,0.0,0.0,0,0,96,0,88,1,Chick-fil-A,Other
"Chick-fil-A Lemonade, Medium",270,0.0,0.0,0.0,0,0,69,0,63,0,Chick-fil-A,Other
"Chick-fil-A Lemonade, Small",190,0.0,0.0,0.0,0,0,50,0,46,0,Chick-fil-A,Other
"Coca-Cola, Large",310,0.0,0.0,0.0,0,105,86,0,86,0,Chick-fil-A,Other
"Coca-Cola, Medium",190,0.0,0.0,0.0,0,65,53,0,53,0,Chick-fil-A,Other
"Coca-Cola, Small",100,0.0,0.0,0.0,0,35,27,0,27,0,Chick-fil-A,Other
Coffee,0,0.0,0.0,0.0,0,10,0,0,0,0,Chick-fil-A,Other
"Dr Pepper, Large",260,0.0,0.0,0.0,0,105,70,0,67,0,Chick-fil-A,Other
"Dr Pepper, Medium",180,0.0,0.0,0.0,0,75,48,0,47,0,Chick-fil-A,Other
"Dr Pepper, Small",140,0.0,0.0,0.0,0,55,36,0,35,0,Chick-fil-A,Other
"Freshly-Brewed Iced Tea Sweetened, Gallon","1,540",0.0,0.0,0.0,0,115,398,0,397,0,Chick-fil-A,Other
"Freshly-Brewed Iced Tea Sweetened, Large",160,0.0,0.0,0.0,0,0,40,0,40,0,Chick-fil-A,Other
"Freshly-Brewed Iced Tea Sweetened, Medium",100,0.0,0.0,0.0,0,0,26,0,26,0,Chick-fil-A,Other
"Freshly-Brewed Iced Tea Sweetened, Small",80,0.0,0.0,0.0,0,0,20,0,20,0,Chick-fil-A,Other
Honest Kids Apple Juice,35,0.0,0.0,0.0,0,15,9,0,8,0,Chick-fil-A,Other
Iced Coffee,130,2.5,1.5,0.0,10,70,23,0,23,4,Chick-fil-A,Other
Peppermint Coffee,90,0.0,0.0,0.0,0,35,23,0,13,0,Chick-fil-A,Other
Peppermint Iced Coffee,200,1.5,1.0,0.0,<5,70,44,0,34,3,Chick-fil-A,Other
"Red Flash, Large",320,0.0,0.0,0.0,0,60,84,0,84,0,Chick-fil-A,Other
"Red Flash, Medium",200,0.0,0.0,0.0,0,40,53,0,53,0,Chick-fil-A,Other
"Red Flash, Small",140,0.0,0.0,0.0,0,25,37,0,37,0,Chick-fil-A,Other
Simply Orange,160,0.0,0.0,0.0,0,10,34,0,30,2,Chick-fil-A,Other
"Sunjoy (1/2 Sweet Tea, 1/2 Diet Lemonade), Gallon","1,030",1.0,0.0,0.0,0,50,270,1,252,1,Chick-fil-A,Other
"Sunjoy (1/2 Sweet Tea, 1/2 Diet Lemonade), Large",140,0.0,0.0,0.0,0,5,38,0,35,0,Chick-fil-A,Other
"Sunjoy (1/2 Sweet Tea, 1/2 Diet Lemonade), Medium",100,0.0,0.0,0.0,0,0,25,0,24,0,Chick-fil-A,Other
"Sunjoy (1/2 Sweet Tea, 1/2 Diet Lemonade), Small",80,0.0,0.0,0.0,0,0,20,0,19,0,Chick-fil-A,Other
"Sunjoy (1/2 Sweet Tea, 1/2 Lemonade), Gallon","1,970",0.0,0.0,0.0,0,0,506,2,481,2,Chick-fil-A,Other
"Sunjoy (1/2 Sweet Tea, 1/2 Lemonade), Large",280,0.0,0.0,0.0,0,0,72,0,68,0,Chick-fil-A,Other
"Sunjoy (1/2 Sweet Tea, 1/2 Lemonade), Medium",180,0.0,0.0,0.0,0,0,45,0,43,0,Chick-fil-A,Other
"Sunjoy (1/2 Sweet Tea, 1/2 Lemonade), Small",120,0.0,0.0,0.0,0,0,33,0,32,0,Chick-fil-A,Other
"Sunjoy (1/2 Unsweet Tea, 1/2 Diet Lemonade), Gallon",240,1.0,0.0,0.0,0,50,65,1,47,1,Chick-fil-A,Other
"Sunjoy (1/2 Unsweet Tea, 1/2 Diet Lemonade), Large",35,0.0,0.0,0.0,0,5,9,0,7,0,Chick-fil-A,Other
"Sunjoy (1/2 Unsweet Tea, 1/2 Diet Lemonade), Medium",20,0.0,0.0,0.0,0,0,6,0,4,0,Chick-fil-A,Other
"Sunjoy (1/2 Unsweet Tea, 1/2 Diet Lemonade), Small",15,0.0,0.0,0.0,0,0,4,0,3,0,Chick-fil-A,Other
"Sunjoy (1/2 Unsweet Tea, 1/2 Lemonade), Gallon","1,040",0.0,0.0,0.0,0,0,291,0,271,0,Chick-fil-A,Other
"Sunjoy (1/2 Unsweet Tea, 1/2 Lemonade), Large",140,0.0,0.0,0.0,0,0,39,0,36,0,Chick-fil-A,Other
"Sunjoy (1/2 Unsweet Tea, 1/2 Lemonade), Medium",90,0.0,0.0,0.0,0,0,25,0,23,0,Chick-fil-A,Other
"Sunjoy (1/2 Unsweet Tea, 1/2 Lemonade), Small",60,0.0,0.0,0.0,0,0,17,0,16,0,Chick-fil-A,Other
Vanilla Iced Coffee,130,2.5,1.5,0.0,10,70,22,0,21,4,Chick-fil-A,Other
Barbeque Sauce,45,0.0,0.0,0.0,0,200,11,0,9,0,Chick-fil-A,Other
Chick-fil-A Sauce,140,13.0,2.0,0.0,10,170,6,0,6,0,Chick-fil-A,Other
Garden Herb Ranch Sauce,140,15.0,2.5,0.0,10,220,1,0,1,1,Chick-fil-A,Other
Honey Mustard Sauce,50,0.0,0.0,0.0,0,160,11,0,10,0,Chick-fil-A,Other
Honey Roasted Bbq Sauce,60,5.0,1.0,0.0,<5,75,3,0,2,0,Chick-fil-A,Other
Polynesian Sauce,110,6.0,1.0,0.0,0,210,14,0,13,0,Chick-fil-A,Other
Sweet & Spicy Sriracha Sauce,45,0.0,0.0,0.0,0,380,11,0,10,0,Chick-fil-A,Other
Zesty Buffalo Sauce,25,2.5,0.0,0.0,<5,570,1,0,0,0,Chick-fil-A,Other
Avocado Lime Ranch Dressing,310,32.0,5.0,0.0,25,520,3,1,2,1,Chick-fil-A,Other
Creamy Salsa Dressing,290,31.0,5.0,0.0,25,630,2,0,1,1,Chick-fil-A,Other
Fat-Free Honey Mustard Dressing,90,0.0,0.0,0.0,0,330,22,1,18,0,Chick-fil-A,Other
Garden Herb Ranch Dressing,280,29.0,5.0,0.0,25,440,2,0,1,1,Chick-fil-A,Other
Light Balsamic Vinaigrette Dressing,80,4.0,0.5,0.0,0,360,10,0,9,0,Chick-fil-A,Other
Light Italian Dressing,25,1.0,0.0,0.0,0,470,3,0,2,0,Chick-fil-A,Other
Zesty Apple Cider Vinaigrette Dressing,230,19.0,3.0,0.0,0,450,16,0,14,0,Chick-fil-A,Other
Gluten Free Bun,180,3.5,0.0,0.0,0,400,37,2,7,3,Chick-fil-A,Other
Multigrain Brioche Bun,210,4.5,1.0,0.0,0,310,38,3,7,7,Chick-fil-A,Other
"White Bun, Buttered",180,6.0,1.0,0.0,0,240,29,1,4,5,Chick-fil-A,Other
"White Bun, Unbuttered",150,1.0,0.0,0.0,0,240,28,1,4,5,Chick-fil-A,Other
Bacon,50,3.5,1.5,0.0,10,210,0,0,0,4,Chick-fil-A,Other
Chick-fil-A Breakfast Filet,160,8.0,1.5,0.0,45,750,8,0,2,15,Chick-fil-A,Other
Chick-fil-A Filet,260,12.0,2.5,0.0,75,1170,13,0,2,25,Chick-fil-A,Other
Grilled Breakfast Filet,60,1.0,0.0,0.0,40,420,0,0,0,13,Chick-fil-A,Other
Grilled Filet,110,2.0,0.0,0.0,70,370,1,0,1,21,Chick-fil-A,Other
Sausage,240,22.0,8.0,0.0,35,430,1,0,0,11,Chick-fil-A,Other
Spicy Breakfast Filet,130,6.0,1.5,0.0,35,710,6,0,1,14,Chick-fil-A,Other
Blue Cheese Crumbles,30,2.5,1.5,0.0,10,110,0,0,0,2,Chick-fil-A,Other
Chili Lime Pepitas,80,7.0,1.0,0.0,0,50,2,1,0,4,Chick-fil-A,Other
Crispy Bell Peppers,80,6.0,0.0,0.0,0,75,6,0,0,1,Chick-fil-A,Other
