Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,Protein per 100 Cal,Category,Size
Grilled Chicken Club with American,490.0,19.0,6.0,0.0,100.0,1150.0,45.0,3.0,12.0,34,Chick-Fil-A,6.938775510204081,['Chicken'],N/A
Grilled Chicken Club with Colby Jack,520.0,22.0,8.0,0.0,105.0,1130.0,45.0,3.0,12.0,37,Chick-Fil-A,7.115384615384615,['Chicken'],N/A
Grilled Chicken Club with No Cheese,440.0,15.0,4.0,0.0,85.0,910.0,45.0,3.0,11.0,31,Chick-Fil-A,7.045454545454545,['Chicken'],N/A
Grilled Chicken Club with Pepper Jack,520.0,21.0,8.0,0.0,105.0,1050.0,45.0,3.0,11.0,36,Chick-Fil-A,6.923076923076923,['Chicken'],N/A
Grilled Chicken Sandwich,390.0,11.0,2.5,0.0,75.0,770.0,45.0,3.0,11.0,28,Chick-Fil-A,7.179487179487179,['Chicken'],N/A
"Grilled Nuggets, 5 ct",80.0,2.0,0.0,0.0,55.0,270.0,1.0,0.0,0.0,16,Chick-Fil-A,20.0,['Chicken'],N/A
"Grilled Nuggets, 8 ct",130.0,3.0,0.5,0.0,85.0,440.0,1.0,0.0,1.0,25,Chick-Fil-A,19.230769230769234,['Chicken'],N/A
"Grilled Nuggets, 12 ct",200.0,4.5,1.0,0.0,130.0,660.0,2.0,0.0,1.0,38,Chick-Fil-A,19.0,"['Chicken', 'Combo']",N/A
"Grilled Nuggets, 30 ct",510.0,11.0,3.0,0.0,335.0,1710.0,4.0,1.0,3.0,98,Chick-Fil-A,19.215686274509807,['Chicken'],N/A
Spicy Chicken Sandwich,450.0,19.0,4.0,0.0,65.0,1730.0,45.0,1.0,6.0,28,Chick-Fil-A,6.222222222222222,['Chicken'],N/A
